,image,label
0,fer2013/train/happy/Training_50449107.jpg,happy
1,fer2013/train/happy/Training_70433018.jpg,happy
2,fer2013/train/happy/Training_85610005.jpg,happy
3,fer2013/train/happy/Training_4460748.jpg,happy
4,fer2013/train/happy/Training_6312930.jpg,happy
5,fer2013/train/happy/Training_25740534.jpg,happy
6,fer2013/train/happy/Training_80076077.jpg,happy
7,fer2013/train/happy/Training_431681.jpg,happy
8,fer2013/train/happy/Training_76432922.jpg,happy
9,fer2013/train/happy/Training_53152280.jpg,happy
10,fer2013/train/happy/Training_82526594.jpg,happy
11,fer2013/train/happy/Training_77219425.jpg,happy
12,fer2013/train/happy/Training_39023213.jpg,happy
13,fer2013/train/happy/Training_77132618.jpg,happy
14,fer2013/train/happy/Training_48076410.jpg,happy
15,fer2013/train/happy/Training_50296064.jpg,happy
16,fer2013/train/happy/Training_72681057.jpg,happy
17,fer2013/train/happy/Training_54604212.jpg,happy
18,fer2013/train/happy/Training_76820039.jpg,happy
19,fer2013/train/happy/Training_85112475.jpg,happy
20,fer2013/train/happy/Training_2762255.jpg,happy
21,fer2013/train/happy/Training_27690434.jpg,happy
22,fer2013/train/happy/Training_71489691.jpg,happy
23,fer2013/train/happy/Training_9526722.jpg,happy
24,fer2013/train/happy/Training_58218094.jpg,happy
25,fer2013/train/happy/Training_65339269.jpg,happy
26,fer2013/train/happy/Training_99371172.jpg,happy
27,fer2013/train/happy/Training_43572718.jpg,happy
28,fer2013/train/happy/Training_12213124.jpg,happy
29,fer2013/train/happy/Training_50673586.jpg,happy
30,fer2013/train/happy/Training_30327539.jpg,happy
31,fer2013/train/happy/Training_94127402.jpg,happy
32,fer2013/train/happy/Training_55632462.jpg,happy
33,fer2013/train/happy/Training_58279318.jpg,happy
34,fer2013/train/happy/Training_82949525.jpg,happy
35,fer2013/train/happy/Training_26384574.jpg,happy
36,fer2013/train/happy/Training_66142455.jpg,happy
37,fer2013/train/happy/Training_17986331.jpg,happy
38,fer2013/train/happy/Training_10974100.jpg,happy
39,fer2013/train/happy/Training_79868613.jpg,happy
40,fer2013/train/happy/Training_40995072.jpg,happy
41,fer2013/train/happy/Training_21813733.jpg,happy
42,fer2013/train/happy/Training_51659708.jpg,happy
43,fer2013/train/happy/Training_69547177.jpg,happy
44,fer2013/train/happy/Training_32819440.jpg,happy
45,fer2013/train/happy/Training_42839287.jpg,happy
46,fer2013/train/happy/Training_12725885.jpg,happy
47,fer2013/train/happy/Training_25288636.jpg,happy
48,fer2013/train/happy/Training_16821066.jpg,happy
49,fer2013/train/happy/Training_68963588.jpg,happy
50,fer2013/train/happy/Training_28042392.jpg,happy
51,fer2013/train/happy/Training_730043.jpg,happy
52,fer2013/train/happy/Training_22128104.jpg,happy
53,fer2013/train/happy/Training_49036137.jpg,happy
54,fer2013/train/happy/Training_45758012.jpg,happy
55,fer2013/train/happy/Training_46559828.jpg,happy
56,fer2013/train/happy/Training_14957789.jpg,happy
57,fer2013/train/happy/Training_50750820.jpg,happy
58,fer2013/train/happy/Training_57505194.jpg,happy
59,fer2013/train/happy/Training_17571873.jpg,happy
60,fer2013/train/happy/Training_27504789.jpg,happy
61,fer2013/train/happy/Training_44466245.jpg,happy
62,fer2013/train/happy/Training_20172329.jpg,happy
63,fer2013/train/happy/Training_25184507.jpg,happy
64,fer2013/train/happy/Training_99770266.jpg,happy
65,fer2013/train/happy/Training_67967157.jpg,happy
66,fer2013/train/happy/Training_18916428.jpg,happy
67,fer2013/train/happy/Training_54759303.jpg,happy
68,fer2013/train/happy/Training_92031313.jpg,happy
69,fer2013/train/happy/Training_97953250.jpg,happy
70,fer2013/train/happy/Training_67850923.jpg,happy
71,fer2013/train/happy/Training_53870461.jpg,happy
72,fer2013/train/happy/Training_53772653.jpg,happy
73,fer2013/train/happy/Training_78774085.jpg,happy
74,fer2013/train/happy/Training_70489037.jpg,happy
75,fer2013/train/happy/Training_10558261.jpg,happy
76,fer2013/train/happy/Training_24881869.jpg,happy
77,fer2013/train/happy/Training_65800986.jpg,happy
78,fer2013/train/happy/Training_22404802.jpg,happy
79,fer2013/train/happy/Training_59565333.jpg,happy
80,fer2013/train/happy/Training_89396183.jpg,happy
81,fer2013/train/happy/Training_18010800.jpg,happy
82,fer2013/train/happy/Training_70299719.jpg,happy
83,fer2013/train/happy/Training_89107622.jpg,happy
84,fer2013/train/happy/Training_90923923.jpg,happy
85,fer2013/train/happy/Training_64270742.jpg,happy
86,fer2013/train/happy/Training_31424340.jpg,happy
87,fer2013/train/happy/Training_12076274.jpg,happy
88,fer2013/train/happy/Training_26972626.jpg,happy
89,fer2013/train/happy/Training_53394860.jpg,happy
90,fer2013/train/happy/Training_77423051.jpg,happy
91,fer2013/train/happy/Training_97699815.jpg,happy
92,fer2013/train/happy/Training_25976138.jpg,happy
93,fer2013/train/happy/Training_795400.jpg,happy
94,fer2013/train/happy/Training_51753033.jpg,happy
95,fer2013/train/happy/Training_68917590.jpg,happy
96,fer2013/train/happy/Training_55402733.jpg,happy
97,fer2013/train/happy/Training_31563037.jpg,happy
98,fer2013/train/happy/Training_57972024.jpg,happy
99,fer2013/train/happy/Training_7173508.jpg,happy
100,fer2013/train/happy/Training_96629227.jpg,happy
101,fer2013/train/happy/Training_54005828.jpg,happy
102,fer2013/train/happy/Training_15602053.jpg,happy
103,fer2013/train/happy/Training_23185540.jpg,happy
104,fer2013/train/happy/Training_13861511.jpg,happy
105,fer2013/train/happy/Training_55828547.jpg,happy
106,fer2013/train/happy/Training_55515529.jpg,happy
107,fer2013/train/happy/Training_37587759.jpg,happy
108,fer2013/train/happy/Training_95794369.jpg,happy
109,fer2013/train/happy/Training_13786156.jpg,happy
110,fer2013/train/happy/Training_5757671.jpg,happy
111,fer2013/train/happy/Training_68062822.jpg,happy
112,fer2013/train/happy/Training_95128975.jpg,happy
113,fer2013/train/happy/Training_9066250.jpg,happy
114,fer2013/train/happy/Training_39830997.jpg,happy
115,fer2013/train/happy/Training_9156393.jpg,happy
116,fer2013/train/happy/Training_88388137.jpg,happy
117,fer2013/train/happy/Training_17139550.jpg,happy
118,fer2013/train/happy/Training_6942321.jpg,happy
119,fer2013/train/happy/Training_25590197.jpg,happy
120,fer2013/train/happy/Training_82773667.jpg,happy
121,fer2013/train/happy/Training_72815617.jpg,happy
122,fer2013/train/happy/Training_38162204.jpg,happy
123,fer2013/train/happy/Training_92132008.jpg,happy
124,fer2013/train/happy/Training_91294441.jpg,happy
125,fer2013/train/happy/Training_68121933.jpg,happy
126,fer2013/train/happy/Training_87931877.jpg,happy
